tick,pid,x,y,state,instr
0,0,29.5,29.5,0,64
0,1,32.5,29.5,0,64
0,2,34.5,29.5,0,64
0,3,29.5,32.5,0,64
0,4,35.5,32.5,0,64
0,5,29.5,34.5,0,64
0,6,34.5,34.5,0,64
0,7,32.5,35.5,0,64
1,0,29.569607843137256,29.429607843137255,0,63
1,1,32.595882352941175,29.518627450980393,0,50
1,2,34.5664705882353,29.573333333333334,0,47
1,3,29.480588235294118,32.40372549019608,0,79
1,4,35.4856862745098,32.597843137254905,0,53
1,5,29.425882352941176,34.43274509803921,0,83
1,6,34.429607843137255,34.569607843137256,0,63
1,7,32.40176470588235,35.51352941176471,0,74
2,0,29.70377278467558,29.297795842775404,0,53
2,1,32.777208264242255,29.557814894271434,0,25
2,2,34.69165038985006,29.713605038062283,0,23
2,3,29.44747258285275,32.22004355528417,0,110
2,4,35.455705531266254,32.78330289463329,0,30
2,5,29.28588331293394,34.303981703145844,0,127
2,6,34.2939527055205,34.699929647420674,0,54
2,7,32.21475814451455,35.53646174611575,0,93
3,0,29.899604357840996,29.11444206801509,0,23
3,1,33.033754348123104,29.622854952015615,255,3
3,2,34.867153200438466,29.91623941015708,255,3
3,3,29.4090601654612,31.95630589663825,0,144
3,4,35.40627618263752,33.04675608499759,0,0
3,5,29.087813233600475,34.11840928509943,0,205
3,6,34.095995621591356,34.88115795255256,0,27
3,7,31.947191784600776,35.56263295684956,0,106
4,0,30.15587483500947,28.89017077030839,0,0
4,1,33.355030763995664,29.72171950792377,255,25
4,2,35.08346190345758,30.178776869740567,255,0
4,3,29.37570594190765,31.619245752280627,0,99
4,5,28.838439286564743,33.88056866583182,0,188
4,6,33.837027679508665,35.102732204240354,0,0
4,7,31.606560660180552,35.5843478905613,0,64
5,1,33.72750160742503,29.861807267185092,255,26
5,3,29.359147570258042,31.218468788569933,0,36
5,5,28.55152428746745,33.58990455959762,0,83
5,7,31.20130317345259,35.5927788410523,0,21
6,1,34.13825757239751,30.05052733207836,255,0
6,3,29.372113972293807,30.762988331048536,0,0
6,5,28.246548193972057,33.24194286319344,0,15
6,7,30.739216007336015,35.57825938837721,0,0
7,5,27.939566916091355,32.8345904621623,0,0
